id,name,description,reference,movement,manufacturer,manufacturer_location,average_rating,image_url,style
1,Rolex Submariner,Iconic dive watch with timeless design,5513,Rolex 1520,Rolex,Switzerland,4.9,https://example.com/rolex_submariner.jpg,Diver's Watch
2,Omega Speedmaster Professional,Moonwatch with legendary space exploration history,145.022,Omega 861,Omega,Switzerland,4.8,https://example.com/omega_speedmaster.jpg,Chronograph Watch
3,Audemars Piguet Royal Oak,Revolutionary luxury sports watch with octagonal bezel,15202,Audemars Piguet 2121,Audemars Piguet,Switzerland,4.7,https://example.com/ap_royal_oak.jpg,Luxury Watch
4,Patek Philippe Nautilus,Highly sought-after luxury sports watch with distinctive porthole design,5711/1A-010,Patek Philippe 3240,Patek Philippe,Switzerland,4.9,https://example.com/patek_philippe_nautilus.jpg,Luxury Watch
5,Seiko 6139 Pogue,Vintage chronograph with colorful dial, worn by astronauts,6139-6002,Seiko 6139,Japan,4.6,https://example.com/seiko_6139_pogue.jpg,Chronograph Watch
6,Tudor Black Bay Fifty-Eight,Vintage-inspired dive watch with slim profile,M79030N,Tudor MT5402,Tudor,Switzerland,4.8,https://example.com/tudor_black_bay_fifty_eight.jpg,Diver's Watch
7,Grand Seiko Snowflake,Elegant and distinctive watch with unique textured dial,SBGA211,Grand Seiko 9R65,Grand Seiko,Japan,4.9,https://example.com/grand_seiko_snowflake.jpg,Dress Watch
8,Cartier Tank,Iconic rectangular-shaped watch with elegant design,W5200027,Cartier 430 MC,Cartier,Switzerland,4.7,https://example.com/cartier_tank.jpg,Dress Watch
9,Breitling Navitimer,Aviator's chronograph with distinctive slide rule bezel,A2432212/B726,Breitling B01,Breitling,Switzerland,4.8,https://example.com/breitling_navitimer.jpg,Chronograph Watch
10,Sinn 556,Minimalist and robust German watch with excellent craftsmanship,556.010,Sinn SW200,Sinn,Germany,4.6,https://example.com/sinn_556.jpg,Dress Watch
11,Vacheron Constantin Overseas,Luxury sports watch with versatile design and high-end finish,4500V/110A-B128,Vacheron Constantin 5100,Vacheron Constantin,Switzerland,4.9,https://example.com/vacheron_constantin_overseas.jpg,Luxury Watch
12,Rolex GMT-Master II Pepsi,Iconic dual-timezone watch with blue and red bezel,126710BLRO,Rolex 3285,Rolex,Switzerland,4.8,https://example.com/rolex_gmt_master_pepsi.jpg,GMT Watch
13,Omega Seamaster 300,Classic dive watch with vintage-inspired design and advanced technology,234.30.41.21.03.001,Omega 8800,Omega,Switzerland,4.7,https://example.com/omega_seamaster_300.jpg,Diver's Watch
14,Audemars Piguet Royal Oak Offshore,Bold and robust luxury sports watch with oversized proportions,26400SO.OO.A002CA.01,Audemars Piguet 3126,Audemars Piguet,Switzerland,4.9,https://example.com/ap_royal_oak_offshore.jpg,Luxury Watch
15,Patek Philippe Calatrava,Elegant and timeless dress watch with clean design,5227R-001,Patek Philippe 3240,Patek Philippe,Switzerland,4.8,https://example.com/patek_philippe_calatrava.jpg,Dress Watch
16,Seiko Prospex SRP777,Affordable and reliable diver's watch with automatic movement,SRP777K1,Seiko 4R36,Seiko,Japan,4.7,https://example.com/seiko_prospex_srp777.jpg,Diver's Watch
17,Tudor Black Bay GMT,Traveler's watch with dual-timezone functionality,M79830RB,Tudor MT5652,Tudor,Switzerland,4.8,https://example.com/tudor_black_bay_gmt.jpg,GMT Watch
18,Grand Seiko Spring Drive,High-precision watch with innovative mechanical-electrical movement,SBGA211,Grand Seiko 9RA,Grand Seiko,Japan,4.9,https://example.com/grand_seiko_spring_drive.jpg,Dress Watch
19,Cartier Santos,Timeless and sophisticated watch with square case and exposed screws,WSSA0030,Cartier 1847 MC,Cartier,Switzerland,4.7,https://example.com/cartier_santos.jpg,Dress Watch
20,Breitling Superocean,Professional diver's watch with exceptional water resistance,A17367D71B1S1,Breitling B17,Breitling,Switzerland,4.8,https://example.com/breitling_superocean.jpg,Diver's Watch
21,Sinn U1,Robust and functional German diver's watch with excellent legibility,UI,Sinn SW200,Sinn,Germany,4.7,https://example.com/sinn_u1.jpg,Diver's Watch
22,Vacheron Constantin Patrimony,Classic and refined dress watch with timeless elegance,85180/000R-9239,Vacheron Constantin 2450,Vacheron Constantin,Switzerland,4.9,https://example.com/vacheron_constantin_patrimony.jpg,Dress Watch
23,Rolex Daytona,Iconic chronograph watch with tachymeter scale and racing heritage,116500,Rolex 4130,Rolex,Switzerland,4.8,https://example.com/rolex_daytona.jpg,Chronograph Watch
24,Omega Seamaster Aqua Terra,Versatile and elegant watch with sporty yet refined design,220.10.41.21.03.001,Omega 8900,Omega,Switzerland,4.7,https://example.com/omega_seamaster_aqua_terra.jpg,Dress Watch
25,Audemars Piguet Royal Oak Perpetual Calendar,Complicated and prestigious watch with perpetual calendar functionality,26579CE.OO.1225CE.01,Audemars Piguet 5134,Audemars Piguet,Switzerland,4.9,https://example.com/ap_royal_oak_perpetual_calendar.jpg,Luxury Watch
26,Patek Philippe Aquanaut,Sporty and modern luxury watch with distinctive textured dial,5167A-001,Patek Philippe 3240,Patek Philippe,Switzerland,4.8,https://example.com/patek_philippe_aquanaut.jpg,Luxury Watch
27,Seiko Prospex Marinemaster,Professional diver's watch with high-performance specifications,SBDB009,Seiko 8L35,Seiko,Japan,4.7,https://example.com/seiko_prospex_marinemaster.jpg,Diver's Watch
28,Tudor Black Bay Bronze,Vintage-inspired dive watch with bronze case and unique patina,79250,Tudor MT5601,Tudor,Switzerland,4.8,https://example.com/tudor_black_bay_bronze.jpg,Diver's Watch
29,IWC Portugieser,Classic and sophisticated watch with clean and balanced design,IW500710,IWC 52010,IWC,Switzerland,4.7,https://example.com/iwc_portugieser.jpg,Dress Watch
30,Jaeger-LeCoultre Reverso,Iconic reversible watch with Art Deco design,Q2708410,Jaeger-LeCoultre 822,Jaeger-LeCoultre,Switzerland,4.9,https://example.com/jaeger_lecoultre_reverso.jpg,Dress Watch
31,Rolex Explorer,Robust and reliable watch designed for exploration and adventure,214270,Rolex 3132,Rolex,Switzerland,4.8,https://example.com/rolex_explorer.jpg,Dress Watch
32,Omega Speedmaster Reduced,Classic chronograph watch with smaller case size,3510.50,Omega 3220,Omega,Switzerland,4.7,https://example.com/omega_speedmaster_reduced.jpg,Chronograph Watch
33,Audemars Piguet Royal Oak Offshore Diver,Dive watch with bold aesthetics and high water resistance,15710,Audemars Piguet 3120,Audemars Piguet,Switzerland,4.9,https://example.com/ap_royal_oak_offshore_diver.jpg,Diver's Watch
34,Patek Philippe Calatrava Pilot Travel Time,Aviator's watch with dual-timezone functionality,5524G-001,Patek Philippe 3240,Patek Philippe,Switzerland,4.8,https://example.com/patek_philippe_calatrava_pilot.jpg,Luxury Watch
35,Seiko Grand Seiko Spring Drive,Highly accurate and luxurious watch with innovative movement,SBGA211G,Seiko Spring Drive,Seiko,Japan,4.9,https://example.com/seiko_grand_seiko_spring_drive.jpg,Dress Watch
36,Tudor Black Bay Harrods,Limited edition diver's watch with unique color scheme,79230,Tudor MT5602,Tudor,Switzerland,4.8,https://example.com/tudor_black_bay_harrods.jpg,Diver's Watch
37,Tag Heuer Monaco,Iconic square-shaped chronograph watch with racing heritage,CAW2111.FC6183,Tag Heuer Calibre 11,Tag Heuer,Switzerland,4.7,https://example.com/tag_heuer_monaco.jpg,Chronograph Watch
38,A. Lange & Söhne Lange 1,German watch with distinctive asymmetric dial and high-quality finish,101.021,A. Lange & Söhne L901.0,A. Lange & Söhne,Germany,4.9,https://example.com/a_lange_sohne_lange_1.jpg,Dress Watch
39,Rolex Milgauss,Scientific watch designed for professionals working in magnetic environments,116400,Rolex 3131,Rolex,Switzerland,4.8,https://example.com/rolex_milgauss.jpg,Dress Watch
40,Omega De Ville,Classic and elegant dress watch with timeless design,424.13.40.21.03.001,Omega 2500,Omega,Switzerland,4.7,https://example.com/omega_de_ville.jpg,Dress Watch
41,Audemars Piguet Royal Oak Concept,Innovative and avant-garde watch with futuristic design,26589IO.OO.D002CA.01,Audemars Piguet 2895,Audemars Piguet,Switzerland,4.9,https://example.com/ap_royal_oak_concept.jpg,Luxury Watch
42,Patek Philippe Aquanaut Travel Time,Traveler's watch with dual-timezone functionality,5164A-001,Patek Philippe 3240,Patek Philippe,Switzerland,4.8,https://example.com/patek_philippe_aquanaut_travel_time.jpg,Luxury Watch
43,Seiko Prospex Samurai,Dive watch with robust construction and bold design,SRPB53,Seiko 4R35,Seiko,Japan,4.7,https://example.com/seiko_prospex_samurai.jpg,Diver's Watch
44,"Tudor Black Bay GMT ""Pepsi""",Traveler's watch with dual-timezone functionality,M79830RB-0002,Tudor MT5652,Tudor,Switzerland,4.8,https://example.com/tudor_black_bay_gmt_pepsi.jpg,GMT Watch
45,Vacheron Constantin Historiques American 1921,Historical watch with unique diagonal time display,82035/000R-B168,Vacheron Constantin 4400,Vacheron Constantin,Switzerland,4.9,https://example.com/vacheron_constantin_historiques.jpg,Dress Watch
46,Rolex Datejust,Classic and versatile watch with date function and cyclops lens,126300,Rolex 3235,Rolex,Switzerland,4.8,https://example.com/rolex_datejust.jpg,Dress Watch
47,Omega Constellation,Elegant and sophisticated watch with distinctive claw-shaped bezel,123.20.35.20.02.001,Omega 8700,Omega,Switzerland,4.7,https://example.com/omega_constellation.jpg,Dress Watch
48,Audemars Piguet Royal Oak Perpetual Calendar Ultra-Thin,Slender and complicated watch with perpetual calendar functionality,26586IP.OO.1240IP.01,Audemars Piguet 5133,Audemars Piguet,Switzerland,4.9,https://example.com/ap_royal_oak_perpetual_ultra_thin.jpg,Luxury Watch
49,Patek Philippe Nautilus Travel Time,Traveler's watch with dual-timezone functionality,5990/1A-001,Patek Philippe 3240,Patek Philippe,Switzerland,4.8,https://example.com/patek_philippe_nautilus_travel_time.jpg,Luxury Watch
50,Seiko Presage Cocktail Time,Elegant and stylish dress watch inspired by Japanese cocktail culture,SRPB43,Seiko 4R35,Seiko,Japan,4.7,https://example.com/seiko_presage_cocktail_time.jpg,Dress Watch
51,Cartier Tank Solo,Iconic rectangular-shaped watch with timeless design,W5200026,Cartier 690,Cartier,Switzerland,4.8,https://example.com/cartier_tank_solo.jpg,Dress Watch
52,Breitling Navitimer,Aviation-inspired watch with slide rule bezel and chronograph function,AB012012/BB02,Breitling B01,Breitling,Switzerland,4.7,https://example.com/breitling_navitimer.jpg,Aviation Watch
53,Sinn U1,Robust and durable dive watch with German engineering,U1-D,ETA 2824-2,Sinn,Germany,4.6,https://example.com/sinn_u1.jpg,Dive Watch
54,Vacheron Constantin Overseas,Elegant and versatile luxury sports watch,4500V/110A-B128,Vacheron Constantin 5100,Vacheron Constantin,Switzerland,4.9,https://example.com/vacheron_constantin_overseas.jpg,Luxury Sports Watch
55,Patek Philippe Calatrava,Classic and refined dress watch,5296R-001,Patek Philippe 324,Patek Philippe,Switzerland,4.9,https://example.com/patek_philippe_calatrava.jpg,Dress Watch
56,Rolex Submariner,Legendary dive watch with iconic design,116610,Rolex 3135,Rolex,Switzerland,4.9,https://example.com/rolex_submariner.jpg,Dive Watch
57,Omega Speedmaster Professional Moonwatch,Famous chronograph watch worn by astronauts,311.30.42.30.01.005,Omega 1861,Omega,Switzerland,4.8,https://example.com/omega_speedmaster.jpg,Chronograph Watch
58,Audemars Piguet Royal Oak,Iconic luxury sports watch with octagonal design,15400ST.OO.1220ST.03,Audemars Piguet 3120,Audemars Piguet,Switzerland,4.9,https://example.com/audemars_piguet_royal_oak.jpg,Luxury Sports Watch
59,Seiko SKX007,Affordable and reliable dive watch,SKX007J1,Seiko 7S26,Seiko,Japan,4.5,https://example.com/seiko_skx007.jpg,Dive Watch
60,Tudor Black Bay,Vintage-inspired diver's watch with modern features,79230,Tudor MT5602,Tudor,Switzerland,4.7,https://example.com/tudor_black_bay.jpg,Dive Watch
61,Grand Seiko Snowflake,High-end watch with unique textured dial resembling snow,SBGA211,Grand Seiko 9R65,Grand Seiko,Japan,4.9,https://example.com/grand_seiko_snowflake.jpg,Dress Watch
62,Rolex Daytona,Iconic chronograph watch with tachymeter bezel,116500,Rolex 4130,Rolex,Switzerland,4.9,https://example.com/rolex_daytona.jpg,Chronograph Watch
63,Omega Seamaster Diver 300M,Classic dive watch with modern updates,210.30.42.20.01.001,Omega 8800,Omega,Switzerland,4.8,https://example.com/omega_seamaster_diver.jpg,Dive Watch
64,Cartier Santos,Timeless square-shaped watch with distinctive bezel screws,WSSA0029,Cartier 1847 MC,Cartier,Switzerland,4.7,https://example.com/cartier_santos.jpg,Dress Watch
65,Breitling Superocean Heritage,Vintage-inspired dive watch with retro charm,AB0162121B1S1,Breitling B01,Breitling,Switzerland,4.7,https://example.com/breitling_superocean.jpg,Dive Watch
66,Sinn 556,Reliable and functional pilot's watch,556,ETA 2824-2,Sinn,Germany,4.6,https://example.com/sinn_556.jpg,Pilot's Watch
67,Vacheron Constantin Patrimony,Elegant and refined dress watch with minimalist design,81180/000G-9117,Vacheron Constantin 1400,Vacheron Constantin,Switzerland,4.9,https://example.com/vacheron_constantin_patrimony.jpg,Dress Watch
68,Patek Philippe Nautilus,Iconic luxury sports watch with porthole-inspired design,5711/1A-010,Patek Philippe 324,Patek Philippe,Switzerland,4.9,https://example.com/patek_philippe_nautilus.jpg,Luxury Sports Watch
69,Rolex GMT-Master II,Dual-timezone watch with iconic bezel,126710BLRO,Rolex 3285,Rolex,Switzerland,4.9,https://example.com/rolex_gmt_master.jpg,Travel Watch
